filename,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes,name,qc
13_Highfatdiet_SC_left_S10,0010,S10,18.4,40,13,HFD,5560,SC,left,2019-01-29T17:08:00Z,2019-01-30T09:08:00Z,16,NA,27.5,27.9,0.3999999999999986,0.01454545454545449,9.090909090909058e-4,495.1,489.4,15846.000000000127,990.375000000008,NA,S0010_13_HFD_SC,ok
14_Highfatdiet_SC_left_S74,0010,S74,24.8,40,14,HFD,5560,SC,left,2019-01-29T17:08:00Z,2019-01-30T09:21:00Z,16.216666666666665,NA,26.1,26.5,0.3999999999999986,0.01532567049808423,9.450567624717928e-4,495.1,489.4,15846.000000000127,977.1428571428652,NA,S0010_14_HFD_SC,ok
15_Highfatdiet_SC_left_S41,0010,S41,64.4,41,15,HFD,5560,SC,left,2019-01-29T18:08:00Z,2019-01-30T10:08:00Z,16,NA,26.5,26.3,-0.1999999999999993,-0.00754716981132072,-4.716981132075455e-4,495,490.1,13621.999999999936,851.374999999996,OBS. Lost weight.,S0010_15_HFD_SC,ok
16_Highfatdiet_SC_right_S59,0010,S59,18.8,41,16,HFD,5560,SC,right,2019-01-29T18:08:00Z,2019-01-30T10:18:00Z,16.166666666666668,NA,24.2,24.3,0.10000000000000142,0.00413223140495873,2.556019425747672e-4,495,490.1,13621.999999999936,842.5979381443259,NA,S0010_16_HFD_SC,ok
17_Highfatdiet_SC_right_S64,0010,S64,3.12,42,17,HFD,5560,SC,right,2019-01-29T18:58:00Z,2019-01-30T10:58:00Z,16,NA,26.3,26.3,0,0,0,482.9,477.3,15567.999999999904,972.999999999994,NA,S0010_17_HFD_SC,ok
18_Highfatdiet_SC_right_S90,0010,S90,34.2,42,18,HFD,5560,SC,right,2019-01-29T18:58:00Z,2019-01-30T11:10:00Z,16.2,NA,25.5,25.3,-0.1999999999999993,-0.00784313725490193,-4.841442749939465e-4,482.9,477.3,15567.999999999904,960.9876543209818,OBS. Lost weight.,S0010_18_HFD_SC,fail PCA
13_Highfatdiet_IC_left_S81,0010,S81,31,40,13,HFD,5560,IC,left,2019-01-29T17:08:00Z,2019-01-30T09:08:00Z,16,NA,27.5,27.9,0.3999999999999986,0.01454545454545449,9.090909090909058e-4,495.1,489.4,15846.000000000127,990.375000000008,NA,S0010_13_HFD_IC,ok
14_Highfatdiet_IC_left_S58,0010,S58,23,40,14,HFD,5560,IC,left,2019-01-29T17:08:00Z,2019-01-30T09:21:00Z,16.216666666666665,NA,26.1,26.5,0.3999999999999986,0.01532567049808423,9.450567624717928e-4,495.1,489.4,15846.000000000127,977.1428571428652,NA,S0010_14_HFD_IC,ok
15_Highfatdiet_IC_left_S55,0010,S55,22.2,41,15,HFD,5560,IC,left,2019-01-29T18:08:00Z,2019-01-30T10:08:00Z,16,NA,26.5,26.3,-0.1999999999999993,-0.00754716981132072,-4.716981132075455e-4,495,490.1,13621.999999999936,851.374999999996,OBS. Lost weight.,S0010_15_HFD_IC,ok
16_Highfatdiet_IC_right_S46,0010,S46,27,41,16,HFD,5560,IC,right,2019-01-29T18:08:00Z,2019-01-30T10:18:00Z,16.166666666666668,NA,24.2,24.3,0.10000000000000142,0.00413223140495873,2.556019425747672e-4,495,490.1,13621.999999999936,842.5979381443259,NA,S0010_16_HFD_IC,fail PCA
17_Highfatdiet_IC_right_S29,0010,S29,25.4,42,17,HFD,5560,IC,right,2019-01-29T18:58:00Z,2019-01-30T10:58:00Z,16,NA,26.3,26.3,0,0,0,482.9,477.3,15567.999999999904,972.999999999994,NA,S0010_17_HFD_IC,ok
