GSM,filename,name,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes
GSM7517824,2_Chow_SC_left_S43,S0010_02_chow_SC,10.0,S43,26.0,34,2,chow,3227,SC,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517801,3_Chow_SC_left_S87,S0010_03_chow_SC,10.0,S87,29.0,35,3,chow,3227,SC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517807,3_Chow_SC_left_S87,S0010_03_chow_SC,10.0,S87,29.0,35,3,chow,3227,SC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517813,3_Chow_SC_left_S87,S0010_03_chow_SC,10.0,S87,29.0,35,3,chow,3227,SC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517819,3_Chow_SC_left_S87,S0010_03_chow_SC,10.0,S87,29.0,35,3,chow,3227,SC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517825,3_Chow_SC_left_S87,S0010_03_chow_SC,10.0,S87,29.0,35,3,chow,3227,SC,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517802,4_Chow_SC_right_S65,S0010_04_chow_SC,10.0,S65,15.7,35,4,chow,3227,SC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517808,4_Chow_SC_right_S65,S0010_04_chow_SC,10.0,S65,15.7,35,4,chow,3227,SC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517814,4_Chow_SC_right_S65,S0010_04_chow_SC,10.0,S65,15.7,35,4,chow,3227,SC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517820,4_Chow_SC_right_S65,S0010_04_chow_SC,10.0,S65,15.7,35,4,chow,3227,SC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517826,4_Chow_SC_right_S65,S0010_04_chow_SC,10.0,S65,15.7,35,4,chow,3227,SC,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517803,5_Chow_SC_right_S47,S0010_05_chow_SC,10.0,S47,31.4,36,5,chow,3227,SC,right,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
GSM7517809,5_Chow_SC_right_S47,S0010_05_chow_SC,10.0,S47,31.4,36,5,chow,3227,SC,right,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16.0,,24.7,24.4,-0.3000000000000007,-0.0121457489878542,-0.0007591093117408925,713.6,706.4,11617.200000000072,726.0750000000046,
